"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.672620608E1,6.506062167E1,2.547480833E1,-3.598427271E1,-1.850000000E1,1.605418563E0,2.718200073E2,3.829643887E-1,1.399999976E0,3.900000095E0,3.400000000E1
7.721896824E1,6.506062000E1,2.547480167E1,-3.528427283E1,-1.780000000E1,1.529239774E0,2.491499939E2,3.834492442E-1,1.399999976E0,3.900000095E0,3.400000000E1
7.772891139E1,6.506061667E1,2.547479500E1,-3.508427232E1,-1.760000000E1,1.395411968E0,2.687000122E2,3.838816875E-1,1.399999976E0,3.900000095E0,3.400000000E1
7.822854701E1,6.506061500E1,2.547478667E1,-3.438427263E1,-1.690000000E1,1.211656094E0,2.674100037E2,3.847610218E-1,1.299999952E0,3.799999952E0,3.400000000E1
7.922865724E1,6.506061333E1,2.547476833E1,-3.348427405E1,-1.600000000E1,1.046944976E0,2.663699951E2,3.859331810E-1,1.399999976E0,3.799999952E0,3.400000000E1
8.020586700E1,6.506061333E1,2.547474333E1,-3.278427684E1,-1.530000000E1,8.863516450E-1,2.812200012E2,3.873123666E-1,1.500000000E0,3.900000095E0,3.400000000E1
8.122396147E1,6.506061000E1,2.547471500E1,-3.218427875E1,-1.470000000E1,7.751716375E-1,2.626199951E2,3.887524638E-1,1.600000024E0,3.900000095E0,3.400000000E1
8.221698154E1,6.506060500E1,2.547468667E1,-3.158428004E1,-1.410000000E1,7.211258411E-1,2.593599854E2,3.902070706E-1,1.600000024E0,3.900000095E0,3.300000000E1
8.320491016E1,6.506060167E1,2.547465667E1,-3.088428213E1,-1.340000000E1,7.072283626E-1,2.795000000E2,3.916471682E-1,1.600000024E0,3.900000095E0,3.300000000E1
8.420576916E1,6.506059667E1,2.547462833E1,-3.018428342E1,-1.270000000E1,7.787747383E-1,2.735899963E2,3.931596524E-1,1.600000024E0,4.000000000E0,3.200000000E1
8.520451316E1,6.506059167E1,2.547459833E1,-2.938428489E1,-1.190000000E1,8.400266767E-1,2.740899963E2,3.945784008E-1,1.600000024E0,4.000000000E0,3.200000000E1
8.622560270E1,6.506059000E1,2.547456833E1,-2.868428761E1,-1.120000000E1,9.352502823E-1,2.807399902E2,3.958287050E-1,1.600000024E0,4.599999905E0,3.200000000E1
8.722544031E1,6.506059000E1,2.547454167E1,-2.798429059E1,-1.050000000E1,1.049518585E0,2.853699951E2,3.972833126E-1,1.600000024E0,4.900000095E0,3.200000000E1
8.822599593E1,6.506059333E1,2.547451167E1,-2.718429519E1,-9.700000000E0,1.138050795E0,2.816499939E2,3.985336167E-1,1.600000024E0,5.400000095E0,3.200000000E1
8.923161408E1,6.506059333E1,2.547448500E1,-2.638429817E1,-8.900000000E0,1.176655054E0,2.876799927E2,3.996887151E-1,1.700000048E0,4.000000000E0,3.200000000E1
9.023206885E1,6.506059667E1,2.547446167E1,-2.558430202E1,-8.100000000E0,1.217832804E0,2.922000122E2,4.009928014E-1,1.700000048E0,4.000000000E0,3.200000000E1
9.123060124E1,6.506060000E1,2.547443500E1,-2.458430625E1,-7.100000000E0,1.225038886E0,2.894500122E2,4.022968876E-1,1.600000024E0,4.000000000E0,3.200000000E1
9.221821224E1,6.506060333E1,2.547440833E1,-2.358431048E1,-6.100000000E0,1.217832804E0,2.965499878E2,4.034519857E-1,1.600000024E0,4.000000000E0,3.200000000E1
9.322854554E1,6.506060667E1,2.547438500E1,-2.268431434E1,-5.200000000E0,1.227612495E0,2.892300110E2,4.046813510E-1,1.600000024E0,4.000000000E0,3.200000000E1
9.422584024E1,6.506061000E1,2.547436000E1,-2.178431838E1,-4.300000000E0,1.213714957E0,2.843699951E2,4.059107162E-1,1.500000000E0,4.000000000E0,3.100000000E1
9.522254054E1,6.506061333E1,2.547433500E1,-2.098432243E1,-3.500000000E0,1.217832804E0,2.775700073E2,4.072899018E-1,1.500000000E0,4.199999809E0,3.200000000E1
9.621805470E1,6.506061667E1,2.547430667E1,-2.028432684E1,-2.800000000E0,1.237392187E0,2.778800049E2,4.085538650E-1,1.500000000E0,4.000000000E0,3.100000000E1
9.722911685E1,6.506061833E1,2.547428000E1,-1.948433045E1,-2.000000000E0,1.217318058E0,2.744899902E2,4.095865021E-1,1.500000000E0,4.000000000E0,3.200000000E1
9.823404301E1,6.506062000E1,2.547425833E1,-1.918433349E1,-1.700000000E0,1.198273301E0,2.720000000E2,4.108158669E-1,1.600000024E0,3.900000095E0,3.200000000E1
9.920270762E1,6.506062333E1,2.547423333E1,-1.848433754E1,-1.000000000E0,1.203420520E0,2.820899963E2,4.120112150E-1,1.600000024E0,4.000000000E0,3.200000000E1
1.002283067E2,6.506063000E1,2.547421333E1,-1.838434228E1,-9.000000000E-1,1.175625563E0,2.955799866E2,4.131745106E-1,1.700000048E0,3.900000095E0,3.200000000E1
1.012306874E2,6.506063833E1,2.547419833E1,-1.768434708E1,-2.000000000E-1,1.189008355E0,3.096799927E2,4.144384390E-1,1.600000024E0,3.900000095E0,3.200000000E1
1.022248664E2,6.506064667E1,2.547418000E1,-1.688435226E1,6.000000000E-1,1.201876402E0,3.071000061E2,4.157975112E-1,1.600000024E0,4.000000000E0,3.100000000E1
1.032237006E2,6.506065667E1,2.547416333E1,-1.638435789E1,1.100000000E0,1.195184946E0,3.158900146E2,4.172029693E-1,1.600000024E0,4.000000000E0,3.200000000E1
1.042279199E2,6.506066667E1,2.547414500E1,-1.568436369E1,1.800000000E0,1.207023621E0,3.161400146E2,4.183207554E-1,1.600000024E0,4.000000000E0,3.200000000E1
1.051997139E2,6.506067500E1,2.547413167E1,-1.508436832E1,2.400000000E0,1.195184946E0,3.055599976E2,4.194109096E-1,1.600000024E0,4.400000095E0,3.200000000E1
