"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.091467850E-1,-3.019318104E0,-2.563210964E0,1.752895951E0,4.331163409E0
7.140877080E-1,-2.572685957E0,-2.175589085E0,1.820171952E0,3.829481275E0
7.190286460E-1,-2.141174078E0,-1.904541016E0,1.827453971E0,3.398748436E0
7.239694920E-1,-1.686998963E0,-1.641082048E0,1.925624967E0,3.040912249E0
7.289104240E-1,-1.401401997E0,-1.292014956E0,1.979406953E0,2.747959623E0
7.338513470E-1,-1.190050006E0,-9.399049878E-1,1.962219954E0,2.479908778E0
7.387920400E-1,-9.985749722E-1,-5.470010042E-1,1.929543972E0,2.240424516E0
7.437329340E-1,-8.287860155E-1,-1.798619926E-1,1.895198941E0,2.076298539E0
7.486737800E-1,-7.359039783E-1,6.489499658E-2,1.887079954E0,2.026533192E0
7.536147030E-1,-7.749660015E-1,2.423699945E-2,1.891669035E0,2.044400028E0
7.585553860E-1,-9.876679778E-1,-2.911379933E-1,1.760211945E0,2.039263459E0
7.634963090E-1,-1.158439040E0,-6.485409737E-1,1.738384008E0,2.187364936E0
7.684372320E-1,-1.316390991E0,-8.998789787E-1,2.031531096E0,2.582592885E0
7.733780740E-1,-1.652202010E0,-1.236307979E0,2.244685888E0,3.049072586E0
7.783189970E-1,-1.839120984E0,-1.442999005E0,2.514684916E0,3.433402445E0
7.832598960E-1,-1.807955980E0,-1.600034952E0,2.786160946E0,3.686666447E0
7.882005880E-1,-1.611894011E0,-1.762343049E0,2.854335070E0,3.721731320E0
7.931415110E-1,-1.317968011E0,-1.834617972E0,2.664262056E0,3.493015186E0
7.980823620E-1,-1.076382995E0,-1.777477980E0,2.352483034E0,3.138822191E0
8.030232850E-1,-8.875110149E-1,-1.697371006E0,1.850451946E0,2.663252999E0
8.079639780E-1,-6.843600273E-1,-1.552178979E0,1.267230988E0,2.117423577E0
8.129049050E-1,-4.136640131E-1,-1.326130033E0,7.934970260E-1,1.599805085E0
8.178458280E-1,5.962900072E-2,-9.100610018E-1,5.930389762E-1,1.087870338E0
8.227866840E-1,5.874699950E-1,-3.702509999E-1,5.831959844E-1,9.068210155E-1
8.277276070E-1,9.683300257E-1,-1.933900081E-2,5.313829780E-1,1.104719378E0
8.326685590E-1,1.217419982E0,2.385500073E-1,3.689090014E-1,1.294260936E0
8.376094820E-1,1.375638008E0,4.294370115E-1,1.777449995E-1,1.452029394E0
8.425500980E-1,1.524518967E0,5.406410098E-1,-1.783429980E-1,1.627346615E0
8.474910780E-1,1.689738035E0,5.581169724E-1,-6.442270279E-1,1.892547924E0
8.524319240E-1,1.923684955E0,5.912510157E-1,-1.096652985E0,2.291896450E0
8.573728470E-1,2.018702030E0,8.023639917E-1,-1.302808046E0,2.533032702E0
8.623137650E-1,2.055665016E0,8.793730140E-1,-1.439659953E0,2.659262367E0
8.672544570E-1,2.060486078E0,9.169980288E-1,-1.275164008E0,2.590855363E0
8.721953650E-1,2.155536890E0,9.016060233E-1,-1.217874050E0,2.634852920E0
8.771362120E-1,2.325856924E0,9.130380154E-1,-8.449270129E-1,2.637641087E0
8.820771350E-1,2.572628975E0,9.787840247E-1,-3.746699989E-1,2.777915697E0
8.870180920E-1,2.774521112E0,1.097486019E0,1.557299960E-2,2.983736832E0
8.919587070E-1,2.960335970E0,1.200610042E0,2.572369874E-1,3.204875098E0
8.968997070E-1,3.130687952E0,1.299819946E0,2.958019972E-1,3.402680968E0
9.018405240E-1,3.326513052E0,1.382583976E0,4.852240086E-1,3.634923641E0
9.067814470E-1,3.425718069E0,1.407549024E0,4.984680116E-1,3.737005339E0
9.117223760E-1,3.496592999E0,1.375267982E0,4.579750001E-1,3.785137477E0
9.166630680E-1,3.579798937E0,1.312049031E0,4.864380062E-1,3.843573210E0
9.216039910E-1,3.647804976E0,1.327893019E0,6.655589938E-1,3.938622828E0
9.265448370E-1,3.741954088E0,1.327427983E0,7.500000000E-1,4.040641713E0
9.314857600E-1,3.903534889E0,1.351887941E0,7.532020211E-1,4.199106920E0
9.364264430E-1,4.078917980E0,1.359889030E0,7.293909788E-1,4.361064235E0
9.413672890E-1,4.281572819E0,1.461735010E0,7.602279782E-1,4.587644452E0
9.463082890E-1,4.457806110E0,1.643885016E0,7.773380280E-1,4.814420804E0
9.512492310E-1,4.635580063E0,1.729967952E0,8.212890029E-1,5.015566494E0
9.561900770E-1,4.815652847E0,1.882980943E0,9.871879816E-1,5.264092485E0
9.611310000E-1,4.943591118E0,2.007956028E0,1.220502019E0,5.473628205E0
9.660719230E-1,5.115478039E0,2.036238909E0,1.480146050E0,5.701334650E0
9.710126340E-1,5.209504128E0,2.035664082E0,1.602419019E0,5.818127553E0
9.759535580E-1,5.348748207E0,2.046283960E0,1.668918014E0,5.965037533E0
9.808944040E-1,5.505459785E0,2.081860065E0,1.747900963E0,6.139982619E0
9.858351060E-1,5.706661224E0,2.128628016E0,1.934795976E0,6.390655289E0
9.907760290E-1,5.911715031E0,2.186338902E0,2.106965065E0,6.645882498E0
9.957169520E-1,6.052814960E0,2.186450005E0,2.332457066E0,6.845252992E0
1.000657885E0,6.226259232E0,2.156111002E0,2.474788904E0,7.038444345E0
1.005598731E0,6.418957233E0,2.163028955E0,2.629203081E0,7.265976539E0
1.010539659E0,6.563236237E0,2.179477930E0,2.836517096E0,7.474759072E0
1.015480582E0,6.604165077E0,2.177814960E0,2.933536053E0,7.547417316E0
1.020421274E0,6.474883080E0,2.143712997E0,2.933645964E0,7.424681471E0
1.025362121E0,6.243053913E0,2.090862036E0,2.741775036E0,7.131953208E0
1.030303044E0,6.043816090E0,1.924046993E0,2.372005939E0,6.771711891E0
1.035243737E0,5.889761925E0,1.643525958E0,2.015453100E0,6.438363480E0
1.040184645E0,5.805015087E0,1.441813946E0,1.672988057E0,6.210951349E0
1.045125568E0,5.708499908E0,1.277919054E0,1.439851046E0,6.024385392E0
1.050066496E0,5.721793175E0,1.152706027E0,1.398030043E0,6.001844410E0
1.055007419E0,5.886602879E0,1.093155026E0,1.492900014E0,6.170561710E0
1.059948342E0,6.120378017E0,1.059363961E0,1.574823022E0,6.407912814E0
1.064889188E0,6.317369938E0,1.022740960E0,1.575098038E0,6.590606636E0
1.069830111E0,6.437263012E0,9.424250126E-1,1.398398995E0,6.654475166E0
1.074770804E0,6.494665146E0,8.455600142E-1,1.153643966E0,6.650303865E0
1.079711655E0,6.486938000E0,6.385899782E-1,8.550059795E-1,6.574130893E0
1.084652578E0,6.333895206E0,2.391410023E-1,5.023559928E-1,6.358284238E0
1.089593501E0,6.102138996E0,-2.156289965E-1,1.913640052E-1,6.108945603E0
1.094534169E0,5.818492889E0,-6.166459918E-1,-1.459089965E-1,5.852896823E0
1.099475092E0,5.504498959E0,-9.623270035E-1,-2.906959951E-1,5.595541637E0
1.104416029E0,5.282791138E0,-1.213791966E0,-2.428340018E-1,5.425877025E0
1.109356952E0,5.124144077E0,-1.439731002E0,-2.001000103E-3,5.322563469E0
1.114297799E0,4.974546909E0,-1.682589054E0,2.275680006E-1,5.256330476E0
1.119238486E0,4.940985203E0,-1.954727054E0,3.914059997E-1,5.327991299E0
1.124179409E0,5.027193069E0,-2.230809927E0,5.164890289E-1,5.524123822E0
1.129120255E0,5.057733059E0,-2.591995001E0,6.434100270E-1,5.719534793E0
1.134061183E0,5.009237766E0,-2.943192005E0,7.309719920E-1,5.855694855E0
1.139002106E0,4.964467049E0,-3.090611935E0,7.513710260E-1,5.895962485E0
1.143942785E0,4.832405090E0,-3.307285070E0,7.316650152E-1,5.901322495E0
1.148883708E0,4.641856194E0,-3.495995998E0,5.353659987E-1,5.835703359E0
1.153824631E0,4.244819164E0,-3.723982096E0,1.215580031E-1,5.648124355E0
1.158765535E0,3.706482887E0,-4.001151085E0,-3.602620065E-1,5.465987021E0
1.163706381E0,3.233067989E0,-4.205311775E0,-9.507679939E-1,5.389001348E0
1.168647073E0,2.903249025E0,-4.348352909E0,-1.459278941E0,5.428307559E0
1.173587997E0,2.729530096E0,-4.388449192E0,-1.736004949E0,5.451837675E0
1.178528920E0,2.611697912E0,-4.377488136E0,-2.067457914E0,5.500704554E0
1.183469747E0,2.593972921E0,-4.493850231E0,-2.535067081E0,5.774941604E0
1.188410670E0,2.551462889E0,-4.601134777E0,-3.029855967E0,6.071279213E0
1.193351607E0,2.455107927E0,-4.522440910E0,-3.551815033E0,6.252632786E0
1.198292299E0,2.364346027E0,-4.325809002E0,-3.938015938E0,6.309574089E0
1.203233453E0,2.401355982E0,-4.203392029E0,-3.970557928E0,6.261017917E0
1.208174060E0,2.166918993E0,-3.965648890E0,-3.758804083E0,5.877968796E0
1.213114983E0,1.741431952E0,-3.682214022E0,-3.330187082E0,5.261314602E0
1.218055906E0,1.338914990E0,-3.505269051E0,-2.712189913E0,4.629857297E0
1.222996598E0,9.229379892E-1,-3.395312071E0,-2.163245916E0,4.130325833E0
1.227937521E0,5.080680251E-1,-3.299381971E0,-1.764886975E0,3.776093292E0
1.232878429E0,2.059240043E-1,-3.245199919E0,-1.503291965E0,3.582403375E0
1.237819275E0,1.121210009E-1,-3.315308094E0,-1.419244051E0,3.608059389E0
1.242760198E0,1.233199984E-2,-3.508845091E0,-1.580729961E0,3.848487126E0
1.247701113E0,-1.338009983E-1,-3.798049927E0,-1.906164050E0,4.251652307E0
1.252641805E0,-2.581000030E-1,-4.114231110E0,-2.300398111E0,4.720735611E0
1.257582651E0,-4.037210047E-1,-4.347729206E0,-2.641386032E0,5.103200963E0
1.262523574E0,-5.853130221E-1,-4.470221996E0,-2.902343988E0,5.361816545E0
1.267464497E0,-7.643219829E-1,-4.454164982E0,-2.974721909E0,5.410429208E0
1.272405420E0,-9.971029758E-1,-4.380921841E0,-2.845226049E0,5.318082530E0
1.277346108E0,-1.134209991E0,-4.319038868E0,-2.704401016E0,5.220566435E0
1.282287031E0,-1.039167047E0,-4.322475910E0,-2.565817118E0,5.132941031E0
1.287227954E0,-7.791259885E-1,-4.377407074E0,-2.361104012E0,5.034236998E0
1.292168795E0,-3.116599917E-1,-4.388683796E0,-2.185137987E0,4.912484650E0
1.297109718E0,2.587760091E-1,-4.370649815E0,-1.955289006E0,4.795070377E0
1.302050405E0,5.932819843E-1,-4.241444111E0,-1.562307000E0,4.558797519E0
1.306991328E0,5.720769763E-1,-4.056325912E0,-1.114590049E0,4.245393145E0
1.311932266E0,3.197570145E-1,-3.965784073E0,-5.981460214E-1,4.023365075E0
1.316873112E0,-1.311929971E-1,-3.958281994E0,-1.619440019E-1,3.963765105E0
1.321814035E0,-6.028400064E-1,-4.006037235E0,1.529570073E-1,4.054028398E0
1.326754732E0,-1.106325030E0,-4.136593819E0,2.785449922E-1,4.291031438E0
1.331695655E0,-1.668447018E0,-4.254455090E0,2.691250145E-1,4.577830472E0
1.336636578E0,-2.179292917E0,-4.442254066E0,4.306900129E-2,4.948211167E0
1.341577400E0,-2.411017895E0,-4.562472820E0,-3.048749864E-1,5.169343699E0
1.346518324E0,-2.474687099E0,-4.587819099E0,-6.795499921E-1,5.256800217E0
1.351459030E0,-2.495826006E0,-4.395342827E0,-8.632900119E-1,5.127714468E0
1.356399953E0,-2.421407938E0,-3.877018929E0,-6.789370179E-1,4.621195478E0
1.361340876E0,-2.265367985E0,-3.372281075E0,-3.718810081E-1,4.079518015E0
1.366281742E0,-2.066937923E0,-2.949070930E0,-1.736239940E-1,3.605467657E0
1.371222665E0,-1.851956964E0,-2.661439896E0,-4.332999885E-2,3.242666249E0
1.376163588E0,-1.686558962E0,-2.523410082E0,5.520000122E-3,3.035145803E0
1.381104266E0,-1.638731956E0,-2.397711039E0,-6.812699884E-2,2.905013242E0
1.386045189E0,-1.708922029E0,-2.338519096E0,-2.371000051E-1,2.906080260E0
1.390986117E0,-1.776267052E0,-2.331801891E0,-4.334230125E-1,2.963153760E0
1.395926963E0,-1.815623045E0,-2.269505978E0,-5.208070278E-1,2.952691041E0
1.400867886E0,-1.870205045E0,-2.205142021E0,-4.722479880E-1,2.929733163E0
1.405808563E0,-1.818701982E0,-2.138921022E0,-3.830829859E-1,2.833621819E0
1.410749487E0,-1.784571052E0,-2.125124931E0,-2.805910110E-1,2.789190049E0
1.415690410E0,-1.768121958E0,-2.137850046E0,-1.509349942E-1,2.778387923E0
1.420631329E0,-1.756114006E0,-2.135669947E0,-2.142699994E-2,2.765046408E0
1.425572175E0,-1.693930984E0,-2.078435898E0,1.761749983E-1,2.687068214E0
1.430513102E0,-1.581293941E0,-2.048309088E0,4.555909932E-1,2.627474795E0
1.435453794E0,-1.498546958E0,-2.006664991E0,7.354530096E-1,2.610218095E0
1.440394717E0,-1.431558967E0,-1.925732017E0,9.748430252E-1,2.590004594E0
1.445335656E0,-1.365522027E0,-1.847300053E0,1.173895001E0,2.579766921E0
1.450276579E0,-1.313447952E0,-1.812783957E0,1.332666039E0,2.605250462E0
1.455217425E0,-1.357094049E0,-1.781540990E0,1.464769006E0,2.676030792E0
1.460158122E0,-1.482146025E0,-1.768471956E0,1.597565055E0,2.806503876E0
1.465099045E0,-1.689455032E0,-1.840813041E0,1.690050006E0,3.016474760E0
1.470039962E0,-1.924862027E0,-1.930853963E0,1.701378942E0,3.213717653E0
1.474980808E0,-2.121272087E0,-2.052141905E0,1.726868987E0,3.419526014E0
1.479921732E0,-2.292460918E0,-2.177881002E0,1.793804049E0,3.635419603E0
1.484862679E0,-2.494839907E0,-2.280044079E0,1.956598043E0,3.905266068E0
1.489803371E0,-2.742373943E0,-2.453994036E0,2.269778967E0,4.323725030E0
1.494744294E0,-2.980042934E0,-2.563299894E0,2.651647091E0,4.741560348E0
1.499685154E0,-3.191216946E0,-2.662353039E0,2.938751936E0,5.090014955E0
1.504626077E0,-3.293131113E0,-2.791690111E0,3.008469105E0,5.262046423E0
1.509567000E0,-3.297261000E0,-2.937278986E0,3.010524988E0,5.344417522E0
1.514507923E0,-3.284765959E0,-3.071665049E0,2.972095966E0,5.390562866E0
1.519448616E0,-3.240389109E0,-3.208247900E0,2.865828037E0,5.385716898E0
1.524389510E0,-3.178793907E0,-3.292970896E0,2.732626915E0,5.330632034E0
1.529330433E0,-3.004425049E0,-3.380263090E0,2.531593084E0,5.182828569E0
1.534271279E0,-2.676835060E0,-3.429358959E0,2.221873045E0,4.884943054E0
1.539212183E0,-2.331734896E0,-3.343894005E0,1.939522982E0,4.514461666E0
1.544152876E0,-2.066274881E0,-3.178714991E0,1.684656024E0,4.148709052E0
1.549093828E0,-1.908813953E0,-3.042356968E0,1.416422009E0,3.860797578E0
1.554034674E0,-1.697244048E0,-2.961663008E0,1.202950001E0,3.619278082E0
1.558975597E0,-1.445412040E0,-2.880764008E0,1.016852021E0,3.379645731E0
1.563916534E0,-1.222408056E0,-2.799724102E0,9.126740098E-1,3.188371113E0
1.568857226E0,-1.068884015E0,-2.581621885E0,9.448040128E-1,2.949565937E0
1.573798135E0,-9.028130174E-1,-2.199542999E0,8.544790149E-1,2.526498592E0
1.578739058E0,-7.914710045E-1,-2.020925045E0,7.505729795E-1,2.296502599E0
