"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.951945780E-1,2.656974077E0,-1.364182949E0,-2.444822073E0,3.859748869E0
8.001346650E-1,2.450813055E0,-1.493698955E0,-2.402858973E0,3.743174113E0
8.050745880E-1,2.310797930E0,-1.512038946E0,-2.239181042E0,3.555275036E0
8.100143570E-1,2.155486107E0,-1.459869027E0,-2.049112082E0,3.313034599E0
8.149543420E-1,1.971817970E0,-1.323876977E0,-1.777976990E0,2.966802746E0
8.198943420E-1,1.746355057E0,-9.958220124E-1,-1.520925999E0,2.520839812E0
8.248342560E-1,1.520663977E0,-6.393799782E-1,-1.332234025E0,2.120394582E0
8.297742560E-1,1.294953942E0,-4.185419977E-1,-1.238978028E0,1.840421058E0
8.347142560E-1,1.096325040E0,-2.516140044E-1,-1.200320959E0,1.644995017E0
8.396540210E-1,1.019168019E0,-1.531340033E-1,-1.148182988E0,1.542879661E0
8.445940210E-1,1.063591957E0,-6.832700223E-2,-1.068982959E0,1.509510184E0
8.495339440E-1,1.243213058E0,7.077199966E-2,-1.030797005E0,1.616517815E0
8.544739490E-1,1.544571996E0,1.960819960E-1,-1.047216058E0,1.876382762E0
8.594139490E-1,1.763371944E0,3.206689954E-1,-1.077272058E0,2.091129911E0
8.643539390E-1,1.926463962E0,4.312050045E-1,-1.080248952E0,2.250364181E0
8.692939390E-1,1.992800951E0,5.548130274E-1,-1.056167960E0,2.322620048E0
8.742337180E-1,1.962103963E0,6.509749889E-1,-9.506739974E-1,2.275390394E0
8.791736410E-1,1.957509041E0,7.462369800E-1,-8.179979920E-1,2.248962425E0
8.841136410E-1,1.966032982E0,8.406999707E-1,-6.716409922E-1,2.241241564E0
8.890536400E-1,1.988814950E0,8.524069786E-1,-6.066570282E-1,2.247223912E0
8.939936400E-1,2.039993048E0,7.950000167E-1,-5.684620142E-1,2.262022485E0
8.989334090E-1,2.051584959E0,7.640299797E-1,-5.025900006E-1,2.246183288E0
9.038733950E-1,2.050687075E0,7.864469886E-1,-3.954040110E-1,2.231627360E0
9.088133950E-1,2.037208080E0,8.488169909E-1,-3.559229970E-1,2.235483891E0
9.137533230E-1,1.983909965E0,8.832399845E-1,-3.705649972E-1,2.203027470E0
9.186933230E-1,1.890460968E0,9.036200047E-1,-4.666939974E-1,2.146666036E0
9.236330930E-1,1.769791961E0,9.505820274E-1,-5.626969934E-1,2.086240082E0
9.285731260E-1,1.648291945E0,9.698029757E-1,-5.362060070E-1,1.986177492E0
9.335131260E-1,1.539093971E0,9.886559844E-1,-4.826940000E-1,1.891889110E0
9.384530490E-1,1.511044979E0,9.803529978E-1,-4.701780081E-1,1.861562862E0
9.433928130E-1,1.496248960E0,9.994699955E-1,-5.394939780E-1,1.878498064E0
9.483328130E-1,1.494364023E0,9.779329896E-1,-5.953750014E-1,1.882537691E0
9.532728130E-1,1.559250951E0,9.294400215E-1,-5.426269770E-1,1.894615084E0
9.582128090E-1,1.622604012E0,9.221000075E-1,-4.221549928E-1,1.913459444E0
9.631528090E-1,1.657207012E0,8.871970177E-1,-2.474640012E-1,1.895967315E0
9.680927320E-1,1.663411975E0,8.516820073E-1,-4.566799849E-2,1.869328009E0
9.730325010E-1,1.696598053E0,8.833119869E-1,1.153829992E-1,1.916245876E0
9.779725010E-1,1.770550013E0,9.411180019E-1,2.221219987E-1,2.017396496E0
9.829125010E-1,1.817242980E0,9.837999940E-1,2.473980039E-1,2.081211246E0
9.878524240E-1,1.822769046E0,1.051743984E0,1.776089966E-1,2.111917934E0
9.927924240E-1,1.718938947E0,1.117856026E0,2.633300051E-2,2.050621034E0
9.977321840E-1,1.600756049E0,1.168496013E0,-9.753099829E-2,1.984266906E0
1.002672184E0,1.536430955E0,1.149497032E0,-2.076330036E-1,1.930045329E0
1.007612174E0,1.430217981E0,1.197008967E0,-2.768020034E-1,1.885463681E0
1.012552097E0,1.377568960E0,1.433601975E0,-3.458639979E-1,2.018051726E0
1.017492097E0,1.296772957E0,1.478042960E0,-4.693180025E-1,2.021506983E0
1.022432083E0,1.201156020E0,1.549013972E0,-4.975210130E-1,2.022312347E0
1.027372083E0,1.253519058E0,1.632681012E0,-5.803819895E-1,2.138644564E0
1.032311852E0,1.194458961E0,1.647441983E0,-5.273470283E-1,2.102116121E0
1.037251857E0,1.187499046E0,1.606771946E0,-4.337010086E-1,2.044496671E0
1.042191857E0,1.152408957E0,1.497596979E0,-3.128499985E-1,1.915389840E0
1.047131789E0,1.116951942E0,1.374292970E0,-1.782889962E-1,1.779901619E0
1.052071789E0,1.300145984E0,1.373414993E0,-2.069319934E-1,1.902490256E0
1.057011789E0,1.675155997E0,1.699586987E0,-2.625640035E-1,2.400767252E0
1.061951554E0,1.644196987E0,1.495584965E0,-4.561999813E-3,2.222651329E0
1.066891554E0,1.480316997E0,1.251381993E0,1.450099945E-1,1.943790936E0
1.071831477E0,1.361485004E0,1.089846969E0,2.679699957E-1,1.764430716E0
1.076771482E0,1.164752960E0,9.156380296E-1,3.369930089E-1,1.519410000E0
1.081711482E0,9.714140296E-1,6.474999785E-1,4.200040102E-1,1.240687232E0
1.086651472E0,7.939990163E-1,2.714770138E-1,5.304809809E-1,9.927458275E-1
1.091591241E0,6.449069977E-1,-7.618299872E-2,7.362899780E-1,9.817493655E-1
1.096531164E0,5.236330032E-1,-3.414520025E-1,9.829419851E-1,1.164884517E0
1.101471150E0,4.027340114E-1,-4.972740114E-1,1.379398942E0,1.520597767E0
1.106410919E0,4.735890031E-1,-2.991429865E-1,1.462823033E0,1.566404896E0
1.111351150E0,1.062602997E0,4.302259982E-1,1.355664968E0,1.775400531E0
1.116291184E0,1.446521044E0,8.736310005E-1,1.479900956E0,2.246277163E0
1.121230876E0,1.543195009E0,1.044778943E0,1.794571996E0,2.587180420E0
1.126170866E0,1.584203005E0,1.188320041E0,2.122720957E0,2.903058377E0
1.131110866E0,1.665480971E0,1.398921967E0,2.287527084E0,3.156515436E0
1.136050866E0,1.678385973E0,1.594758987E0,2.452514887E0,3.372694023E0
1.140990622E0,1.664198995E0,1.666674972E0,2.481602907E0,3.421361826E0
1.145930622E0,1.636106014E0,1.736593962E0,2.497430086E0,3.453948250E0
1.150870545E0,1.661471963E0,1.804319024E0,2.472665071E0,3.482833441E0
1.155810535E0,1.630939960E0,1.869485021E0,2.434562922E0,3.475922326E0
1.160750535E0,1.557824016E0,1.864689946E0,2.410178900E0,3.422403627E0
1.165690314E0,1.387235045E0,1.844166994E0,2.426744938E0,3.348800377E0
1.170630314E0,1.255949020E0,1.835798979E0,2.416146040E0,3.284102239E0
1.175570314E0,1.150091052E0,1.798776984E0,2.351099968E0,3.175843058E0
1.180510222E0,8.650529981E-1,1.543058991E0,2.435734034E0,3.010340184E0
1.185450222E0,6.323369741E-1,1.408650994E0,2.561202049E0,2.990635987E0
1.190390222E0,4.795710146E-1,1.381939054E0,2.523286104E0,2.916627619E0
1.195330251E0,3.938609958E-1,1.245458007E0,2.471854925E0,2.795775188E0
1.200270020E0,5.806260109E-1,8.101180196E-1,2.284166098E0,2.492154195E0
1.205210029E0,8.890960217E-1,3.489019871E-1,2.136982918E0,2.340709363E0
1.210150029E0,1.278445959E0,1.080759987E-1,1.961948991E0,2.344215932E0
1.215089952E0,1.653427958E0,1.963459998E-1,1.990671039E0,2.595216166E0
1.220029953E0,1.893782020E0,1.649899930E-1,2.100761890E0,2.833166525E0
1.224969722E0,1.878309011E0,-8.204100281E-2,2.088284969E0,2.809930530E0
1.229909722E0,1.812371016E0,-4.223810136E-1,1.926197052E0,2.678307208E0
1.234849756E0,1.722597003E0,-7.205389738E-1,1.669028997E0,2.504431002E0
1.239789679E0,1.730823994E0,-7.721930146E-1,1.357504964E0,2.331277220E0
1.244729693E0,1.862743020E0,-6.732879877E-1,1.223057985E0,2.327874376E0
1.249669462E0,1.546522975E0,-1.186458945E0,1.347421050E0,2.369591025E0
1.254609385E0,1.464020967E0,-1.385885954E0,1.049790978E0,2.272905271E0
1.259549385E0,1.696398973E0,-1.107887983E0,6.705319881E-1,2.134197369E0
1.264489385E0,1.848279953E0,-9.240850210E-1,3.320510089E-1,2.092923740E0
1.269429385E0,1.756324053E0,-9.700959921E-1,1.295659989E-1,2.010608803E0
1.274369159E0,1.542930007E0,-9.738429785E-1,8.642000146E-3,1.824576071E0
1.279309083E0,1.357494950E0,-9.486590028E-1,-2.487850040E-1,1.674706070E0
1.284249083E0,1.308199048E0,-8.809580207E-1,-5.611129999E-1,1.674013017E0
1.289189083E0,1.325209022E0,-7.975649834E-1,-8.470050097E-1,1.763435947E0
1.294129098E0,1.325235009E0,-6.984059811E-1,-9.841520190E-1,1.792365460E0
1.299068867E0,1.376067996E0,-5.430870056E-1,-9.861059785E-1,1.777895280E0
1.304008867E0,1.423876047E0,-4.271639884E-1,-9.344260097E-1,1.755859914E0
1.308948862E0,1.510143042E0,-3.916620016E-1,-7.744759917E-1,1.741764677E0
1.313888785E0,1.621754050E0,-3.553600013E-1,-5.469059944E-1,1.747991160E0
1.318828785E0,1.596945047E0,-3.734009862E-1,-1.967969984E-1,1.651784138E0
1.323768765E0,1.519003034E0,-5.141649842E-1,8.547700197E-2,1.605939652E0
1.328708534E0,1.498751998E0,-6.421210170E-1,2.595089972E-1,1.651036605E0
1.333648534E0,1.455667973E0,-6.895419955E-1,4.209029973E-1,1.664811324E0
1.338588563E0,1.377416968E0,-6.565380096E-1,4.609200060E-1,1.593978329E0
1.343528486E0,1.332947969E0,-6.935099959E-1,1.891500056E-1,1.514425346E0
1.348468477E0,1.212726951E0,-8.138759732E-1,-1.221209988E-1,1.465610554E0
1.353408247E0,9.888820052E-1,-7.583619952E-1,-4.049800038E-1,1.310347030E0
1.358348247E0,8.240990043E-1,-5.950949788E-1,-6.595090032E-1,1.211705132E0
1.363288237E0,7.443469763E-1,-5.280529857E-1,-1.103883982E0,1.432289154E0
1.368228237E0,7.629060149E-1,-4.475240111E-1,-1.656591058E0,1.877923657E0
1.373168160E0,7.968720198E-1,-3.802050054E-1,-2.127247095E0,2.303202350E0
1.378108165E0,8.729720116E-1,-3.391920030E-1,-2.570533991E0,2.735831929E0
1.383047934E0,1.030055046E0,-3.103330135E-1,-2.932451010E0,3.123553890E0
1.387987953E0,1.090926051E0,-3.749499917E-1,-3.226744890E0,3.426746231E0
1.392927953E0,9.860609770E-1,-4.919359982E-1,-3.440133095E0,3.612316845E0
1.397867876E0,9.601420164E-1,-5.518890023E-1,-3.572834015E0,3.740534328E0
1.402807630E0,9.708989859E-1,-6.636440158E-1,-3.597933054E0,3.785259632E0
1.407747630E0,1.018854976E0,-7.314479947E-1,-3.515446901E0,3.732485572E0
1.412687553E0,9.813460112E-1,-7.282450199E-1,-3.434322119E0,3.645263944E0
1.417627649E0,1.022533059E0,-8.036710024E-1,-3.340842962E0,3.585065221E0
1.422567649E0,1.141754985E0,-8.902440071E-1,-3.112411976E0,3.432673469E0
1.427507328E0,1.312060952E0,-9.334279895E-1,-2.789834976E0,3.221175399E0
1.432447328E0,1.478796005E0,-9.200760126E-1,-2.413887978E0,2.976614295E0
1.437387328E0,1.628671050E0,-8.639469743E-1,-2.011698008E0,2.728718131E0
1.442327309E0,1.884891987E0,-7.119029760E-1,-1.528345942E0,2.528925655E0
1.447267232E0,2.071803093E0,-5.452610254E-1,-1.072589993E0,2.395856201E0
1.452207232E0,2.217730045E0,-4.191829860E-1,-6.168169975E-1,2.339765830E0
1.457147015E0,2.350373983E0,-3.063910007E-1,-2.971400023E-1,2.388812569E0
1.462087015E0,2.374627113E0,-1.672360003E-1,9.317000397E-3,2.380526961E0
1.467027001E0,2.317487001E0,6.698200107E-2,1.934169978E-1,2.326508699E0
1.471966924E0,2.315188885E0,2.458889931E-1,2.416480035E-1,2.340716712E0
1.476906924E0,2.353669882E0,4.241830111E-1,3.854190111E-1,2.422445243E0
1.481846924E0,2.378365040E0,6.551060081E-1,5.432230234E-1,2.526039469E0
1.486786693E0,2.348507881E0,8.304389715E-1,6.604390144E-1,2.577071564E0
1.491726693E0,2.318751097E0,1.017707944E0,7.644410133E-1,2.645128763E0
1.496666707E0,2.371638060E0,1.108206987E0,7.191249728E-1,2.714761599E0
1.501606631E0,2.384433031E0,1.073783040E0,5.246170163E-1,2.667162146E0
1.506546626E0,2.342122078E0,1.105505943E0,4.802060127E-1,2.634060940E0
1.511486626E0,2.189809084E0,1.135136008E0,5.585790277E-1,2.528993498E0
1.516426626E0,1.995532990E0,1.176447988E0,6.371070147E-1,2.402516832E0
1.521366400E0,1.895717025E0,1.147079945E0,6.478340030E-1,2.308511281E0
1.526306400E0,1.890480042E0,1.156353951E0,6.451950073E-1,2.308104383E0
1.531246400E0,1.925480008E0,1.258553028E0,5.611429811E-1,2.367764860E0
1.536186323E0,1.973569036E0,1.304036021E0,4.773829877E-1,2.413167876E0
1.541126323E0,1.966657043E0,1.333896041E0,4.211139977E-1,2.413370168E0
1.546066078E0,1.932042956E0,1.389551997E0,3.922530115E-1,2.411950904E0
1.551006078E0,1.897519946E0,1.457543969E0,3.772560060E-1,2.422258958E0
1.555946001E0,1.809218049E0,1.510835052E0,3.762060106E-1,2.386927620E0
1.560885780E0,1.735932946E0,1.495152950E0,2.802329957E-1,2.308132594E0
1.565825780E0,1.691530943E0,1.478930950E0,1.438059956E-1,2.251487031E0
1.570765780E0,1.594524026E0,1.421383977E0,-3.304399922E-2,2.136335925E0
1.575705775E0,1.471393943E0,1.377156019E0,-2.368679941E-1,2.029203115E0
1.580645698E0,1.335281014E0,1.292140007E0,-3.861039877E-1,1.897808598E0
1.585585698E0,1.185454011E0,1.248183012E0,-5.081490278E-1,1.794847480E0
1.590525467E0,1.061983943E0,1.258656025E0,-5.622500181E-1,1.740158029E0
1.595465467E0,9.784259796E-1,1.268581033E0,-5.619530082E-1,1.697765124E0
1.600405448E0,9.209989905E-1,1.305060029E0,-5.617420077E-1,1.693214370E0
1.605345448E0,9.716460109E-1,1.299551964E0,-5.478780270E-1,1.712630027E0
1.610285371E0,1.035009027E0,1.374673009E0,-5.476070046E-1,1.805780440E0
1.615225140E0,1.111078978E0,1.421161056E0,-5.881140232E-1,1.897385924E0
1.620165140E0,1.145575047E0,1.398337007E0,-5.876659751E-1,1.900799797E0
1.625105092E0,1.261327028E0,1.401924968E0,-6.007649899E-1,1.979206422E0
